START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
11969,21274,0.011191399,0.014962755,0.003771356,0.003771356,33.69870023,52,"Natural gas, steam and air-con supply",0
1534,1793,0.001434339,0.00126108,-0.000173259,0.000173259,12.07936199,53,Water,0
2114,2619,0.001976658,0.001842035,-0.000134623,0.000134623,6.810636944,54,Sewerage,0
11106,11853,0.010384466,0.008336633,-0.002047833,0.002047833,19.72015701,55,Waste collection and recycling,0
289,425,0.000270224,0.000298917,2.87E-05,2.87E-05,10.62081828,56,Waste management,0
94517,115937,0.088376429,0.081542583,-0.006833846,0.006833846,7.73265686,57,Construction,0
11989,13154,0.0112101,0.009251672,-0.001958427,0.001958427,17.47020098,58,"Motor vehicles - wholesale, retail and repair",0
0,0,0,0,0,0,0,59,Wholesale trade exc. motor vehicles,0
0,0,0,0,0,0,0,60,Retail trade exc. motor vehicles,0
1717,1734,0.00160545,0.001219583,-0.000385867,0.000385867,24.0348189,61,Rail,0
30514,33481,0.028531569,0.023548369,-0.004983201,0.004983201,17.46556945,62,Land transport exc. rail,0
1654,4330,0.001546543,0.003045442,0.001498899,0.001498899,96.91932264,63,Water transport,0
6821,8741,0.006377854,0.006147854,-0.00023,0.00023,3.606228678,64,Air transport,0
30212,28660,0.02824919,0.020157589,-0.0080916,0.0080916,28.64365315,65,Warehousing and transport support,0
12493,18226,0.011681356,0.012818989,0.001137633,0.001137633,9.738877918,66,Postal and courier,0
8120,9916,0.007592461,0.006974273,-0.000618188,0.000618188,8.14212941,67,Accommodation,0
7571,9568,0.007079128,0.006729512,-0.000349616,0.000349616,4.938687364,68,Pubs and restaurants,0
7105,6307,0.006643403,0.004435936,-0.002207467,0.002207467,33.22795561,69,Book publishing,0
3681,5413,0.003441853,0.003807154,0.000365301,0.000365301,10.61349802,70,"Other media publishing, broadcast and production",0
23636,26915,0.022100419,0.018930269,-0.003170149,0.003170149,14.34429365,71,Telecommunications,0
