START,END,STARTSHARE,ENDSHARE,SHARECHANGE,ABSCHANGE,ABSPCHANGE,PRODUCT,NAME,WITHPS
9492,8926,0.008875325,0.00587386,0.003001465,0.003001465,33.81808241,23,Manufactured goods -  books and recordings,0
26871,38593,0.025125248,0.025396581,-0.000271333,0.000271333,1.079923386,24,Manufactured goods -  coke and refined petroleum,0
3849,4431,0.003598939,0.002915872,0.000683066,0.000683066,18.97966539,25,"Manufactured goods -  paints, varnishes, inks and mastics",0
3603,4134,0.003368921,0.002720428,0.000648493,0.000648493,19.24927993,26,Manufactured goods -  cleaning products,0
4119,5029,0.003851397,0.003309393,0.000542004,0.000542004,14.07292327,27,Manufactured goods - other chemicals,0
5648,5922,0.005281061,0.003897042,0.001384019,0.001384019,26.20721376,28,Manufactured goods -  inorganic chemicals,0
18636,18196,0.017425258,0.011974093,0.005451165,0.005451165,31.28312202,29,Manufactured goods -  petrochemicals,0
1907,2256,0.001783106,0.001484588,0.000298519,0.000298519,16.74149741,30,Manufactured goods -  dyestuffs and agro-chemicals,0
5560,15994,0.005198778,0.010525041,-0.005326263,0.005326263,102.4521968,31,Manufactured goods -  pharmaceuticals,0
20067,23624,0.018763289,0.015546053,0.003217236,0.003217236,17.14643939,32,Manufactured goods -  rubber and plastic,0
7027,8608,0.006570471,0.005664596,0.000905874,0.000905874,13.7870515,33,"Manufactured goods -  cement, lime, plaster and concrete",0
8601,9459,0.008042211,0.006224607,0.001817604,0.001817604,22.60080009,34,"Manufactured goods -  glass, stone and earthenware",0
10902,12697,0.01019372,0.008355411,0.001838309,0.001838309,18.03373696,35,Manufactured goods -  iron and steel (non-fabricated),0
10343,12706,0.009671037,0.008361334,0.001309703,0.001309703,13.54253056,36,Manufactured goods -  other non-fabricated metals,0
2113,4291,0.001975723,0.002823743,-0.000848021,0.000848021,42.92204149,37,Manufactured goods -  arms,0
23651,31150,0.022114444,0.020498627,0.001615818,0.001615818,7.30661621,38,Manufactured goods -  other fabricated metal products,0
28105,39186,0.026279077,0.025786812,0.000492266,0.000492266,1.87322221,39,"Manufactured goods -  computers, electronics and optical",0
11072,14589,0.010352675,0.009600464,0.000752211,0.000752211,7.265861715,40,Manufactured goods -  electricals,0
11683,16011,0.01092398,0.010536228,0.000387752,0.000387752,3.549546415,41,Manufactured goods -  other machinery and equipment,0
18568,28152,0.017361676,0.018525757,-0.001164081,0.001164081,6.704889383,42,Manufactured goods -  motor vehicles,0
555,706,0.000518943,0.000464592,5.43511E-05,5.43511E-05,10.47343708,43,Manufactured goods -  ships and boats,0
1275,5587,0.001192166,0.003676592,-0.002484426,0.002484426,208.39596,44,Manufactured goods -  aircraft and spacecraft,0
355,829,0.000331936,0.000545533,-0.000213597,0.000213597,64.34873704,45,Manufactured goods -  other transport equipment,0
2412,2709,0.002255297,0.00178269,0.000472608,0.000472608,20.9554566,46,Manufactured goods -  furniture,0
8070,10876,0.007545709,0.007157081,0.000388628,0.000388628,5.150322683,47,Manufactured goods -  other,0
776,1063,0.000725585,0.00069952,2.60652E-05,2.60652E-05,3.592296716,48,Repair - ships and boats,0
3509,4309,0.003281028,0.002835589,0.000445439,0.000445439,13.57620769,49,Repair - aircraft and spacecraft,0
